Game ,Win/Loss,Margin,Shots Taken ,Assists
12/9/07,W,10,23,8
12/13/07,W,5,24,3
12/14/07,L,-2,23,5
12/16/07,W,21,22,3
12/18/07,W,12,19,2
12/20/07,L,-4,22,5
12/21/07,W,5,20,3
12/23/07,W,5,28,8
12/25/07,W,7,20,7
12/28/07,W,14,18,7
12/30/07,L,-19,25,3
1/4/08,W,31,9,4
1/6/08,W,16,21,6
1/8/08,W,16,22,6
1/9/08,W,29,16,7
1/11/08,W,5,25,7
1/13/08,W,1,25,4
1/14/08,W,2,44,2
1/17/08,L,-8,22,4
1/21/08,W,17,7,11
1/23/08,L,-12,27,5
1/25/08,L,-7,19,5
1/27/08,L,-3,21,6
1/29/08,W,11,21,11
1/31/08,L,-1,25,5
2/1/08,W,20,28,5
2/3/08,W,12,15,2
2/5/08,W,15,13,8
2/6/08,L,-3,16,10
2/8/08,W,4,26,6
2/10/08,W,10,15,5
2/11/08,W,9,17,4
2/13/08,W,25,18,5
2/19/08,W,29,16,3
2/20/08,W,6,25,3
2/23/08,W,18,11,7
2/24/08,W,20,13,10
2/26/08,W,13,25,7
2/28/08,W,18,14,8
2/29/08,L,-8,24,5
3/2/08,W,4,27,4
3/4/08,W,12,26,3
3/7/08,W,37,9,3
3/9/08,L,-1,18,5
3/11/08,W,9,20,7
3/14/08,L,-10,23,3
3/16/08,L,-12,33,2
3/18/08,W,2,23,7
3/20/08,W,11,24,7
3/21/08,W,25,15,5
3/23/08,L,-4,30,8
3/24/08,W,4,30,7
3/26/08,L,-13,22,3
3/28/08,L,-3,37,1
3/30/08,W,6,24,13
4/2/08,W,13,16,7
4/4/08,W,4,14,6
4/6/08,W,22,15,5
4/8/08,L,-9,26,5
4/10/08,W,28,17,3
4/11/08,W,3,17,8
4/13/08,W,21,14,5
4/15/08,W,23,13,5
4/20/08,W,14,26,1
4/23/08,W,15,27,10
4/26/08,W,18,19,8
4/28/08,W,6,24,6
5/4/08,W,11,16,7
5/7/08,W,10,18,6
5/9/08,L,-5,20,7
5/11/08,L,-8,33,10
5/14/08,W,7,10,7
5/16/08,W,3,19,6
5/21/08,W,4,21,9
5/23/08,W,30,17,5
5/25/08,L,-19,23,1
5/27/08,W,2,29,1
5/29/08,W,8,30,3
6/5/08,L,-10,26,6
6/8/08,L,-6,23,8
6/10/08,W,6,20,1
6/12/08,L,-6,19,10
6/15/08,W,5,21,4
6/17/08,L,-39,22,1
10/28/08,W,20,17,5
10/29/08,W,38,12,3
11/1/08,W,7,24,3
11/5/08,W,18,21,3
11/9/08,W,29,17,3
11/11/08,W,7,20,1
11/12/08,W,7,15,6
11/14/08,L,-11,30,6
11/18/08,W,7,18,6
11/20/08,W,13,23,3
11/21/08,W,14,18,2
11/23/08,W,10,20,6
11/25/08,W,27,17,4
11/28/08,W,7,26,5
11/30/08,W,13,14,7
12/2/08,L,-1,21,2
12/3/08,W,12,20,4
12/5/08,W,2,17,7
12/7/08,W,13,13,8
12/9/08,L,-12,25,3
12/10/08,W,5,16,3
12/12/08,W,9,21,3
12/14/08,W,12,24,5
12/16/08,W,2,22,6
12/19/08,L,-2,24,3
12/20/08,L,-3,31,3
12/22/08,W,9,23,3
12/23/08,W,13,18,4
12/25/08,W,9,23,5
12/28/08,W,17,15,4
1/2/09,W,13,23,4
1/4/09,W,14,19,3
1/6/09,L,-11,22,7
1/7/09,W,8,20,5
1/9/09,W,2,20,13
1/11/09,W,3,14,7
1/13/09,W,5,32,4
1/14/09,L,-1,19,10
1/16/09,L,-6,26,11
1/19/09,W,17,22,12
1/21/09,W,11,15,12
1/22/09,W,20,11,5
1/25/09,W,14,17,3
1/27/09,L,-7,28,5
1/30/09,W,13,23,5
1/31/09,W,17,20,7
2/2/09,W,9,31,3
2/4/09,W,8,28,5
2/5/09,W,1,29,5
2/8/09,W,10,17,2
2/10/09,W,7,26,1
2/11/09,L,-4,33,4
2/17/09,W,13,12,2
2/18/09,W,8,22,9
2/20/09,W,4,30,5
2/22/09,W,3,21,7
2/24/09,W,14,21,5
2/26/09,W,26,13,8
2/27/09,L,-11,31,2
3/1/09,L,-7,38,2
3/3/09,W,10,23,2
3/6/09,W,20,17,4
3/9/09,L,-17,29,3
3/11/09,W,6,23,6
3/12/09,W,7,21,6
3/15/09,W,7,20,5
3/17/09,L,-1,15,5
3/19/09,W,8,25,2
3/21/09,W,8,25,7
3/24/09,W,18,18,5
3/26/09,W,15,18,7
3/27/09,W,8,19,9
3/29/09,L,-10,19,4
3/31/09,L,-10,28,2
4/1/09,W,6,19,4
4/3/09,W,12,11,7
4/5/09,W,3,15,5
4/7/09,W,18,16,4
4/9/09,W,14,19,2
4/10/09,L,-8,24,2
4/12/09,W,17,9,4
4/14/09,W,13,11,5
4/19/09,W,13,17,8
4/21/09,W,10,17,9
4/23/09,L,-2,24,6
4/25/09,W,14,24,1
4/27/09,W,11,21,4
5/4/09,L,-8,31,4
5/6/09,W,13,27,3
5/8/09,W,14,28,3
5/10/09,L,-12,17,5
5/12/09,W,40,19,3
5/14/09,L,-15,27,3
5/17/09,W,19,12,5
5/19/09,W,2,28,4
5/21/09,L,-3,20,3
5/23/09,W,6,24,5
5/25/09,L,-19,26,5
5/27/09,W,9,13,8
5/29/09,W,27,20,10
6/4/09,W,25,34,8
6/7/09,W,5,22,8
6/9/09,L,-4,25,8
6/11/09,W,8,31,8
6/14/09,W,13,23,5
10/27/09,W,7,26,3
10/30/09,L,-14,19,2
11/1/09,W,8,29,3
11/3/09,W,3,22,4
11/4/09,W,1,30,4
11/6/09,W,16,30,1
11/8/09,W,16,21,1
11/12/09,W,19,21,4
11/13/09,L,-26,17,2
11/15/09,L,-10,20,3
11/17/09,W,13,29,5
11/19/09,W,15,21,8
11/22/09,W,16,23,7
11/24/09,W,10,20,4
11/28/09,W,33,20,6
11/29/09,W,19,17,7
12/1/09,W,11,11,4
12/4/09,W,1,25,3
12/6/09,W,20,16,3
12/9/09,W,24,19,8
12/11/09,W,12,18,5
12/12/09,L,-8,24,5
12/15/09,W,9,26,3
12/16/09,W,1,28,4
12/19/09,W,19,23,5
12/20/09,W,12,23,4
12/22/09,W,3,26,6
12/25/09,L,-15,33,8
12/26/09,W,9,30,4
12/28/09,L,-15,26,2
12/29/09,W,6,27,11
1/1/10,W,1,27,5
1/3/10,W,35,12,8
1/5/10,W,9,23,3
1/6/10,L,-11,30,8
1/8/10,L,-9,37,7
1/10/10,W,18,21,1
1/12/10,L,-20,10,3
1/13/10,W,5,11,1
1/15/10,W,40,20,3
1/18/10,W,6,19,7
1/21/10,L,-6,31,4
1/22/10,W,10,24,6
1/24/10,L,-1,24,9
1/26/10,W,12,15,8
1/27/10,W,22,15,7
1/29/10,W,8,22,3
1/31/10,W,1,20,6
2/1/10,L,-2,28,3
2/3/10,W,2,12,6
2/5/10,L,-13,22,0
2/23/10,W,1,19,6
2/24/10,L,-5,23,2
2/26/10,W,9,16,8
2/28/10,W,6,17,12
3/2/10,W,23,14,6
3/4/10,L,-3,28,4
3/5/10,L,-15,21,2
3/7/10,L,-2,30,7
3/9/10,W,2,20,6
3/12/10,W,6,16,8
3/15/10,W,3,18,4
3/16/10,W,7,26,7
3/19/10,W,8,11,13
3/21/10,W,7,17,4
3/24/10,W,9,16,6
3/26/10,L,-16,11,3
3/27/10,W,8,14,9
3/29/10,L,-8,18,6
3/31/10,L,-17,21,4
4/2/10,W,14,23,3
4/4/10,L,-19,24,6
4/11/10,L,-3,23,2
4/18/10,W,8,19,3
4/20/10,W,3,28,1
4/22/10,L,-5,29,8
4/24/10,L,-21,10,4
4/27/10,W,24,9,7
4/30/10,W,1,25,3
5/2/10,W,5,19,4
5/4/10,W,8,22,8
5/8/10,W,1,24,7
5/10/10,W,15,23,4
5/17/10,W,21,23,5
5/19/10,W,12,19,13
5/23/10,L,-9,24,11
5/25/10,L,-9,22,10
5/27/10,W,2,27,9
5/29/10,W,8,25,2
6/3/10,W,13,22,6
6/6/10,L,-9,20,6
6/8/10,W,7,29,4
6/10/10,L,-7,22,2
6/13/10,L,-6,27,4
6/15/10,W,22,19,3
6/17/10,W,4,24,2
10/26/10,W,2,20,7
10/29/10,W,8,19,3
10/31/10,W,24,16,2
11/2/10,W,19,13,1
11/3/10,W,12,22,12
11/5/10,W,5,12,6
11/7/10,W,25,11,1
11/9/10,W,5,28,2
11/11/10,L,-6,32,5
11/14/10,L,-5,20,14
11/16/10,W,11,23,3
11/17/10,W,13,20,4
11/19/10,W,17,27,2
11/21/10,W,28,16,5
11/23/10,W,7,18,5
11/26/10,L,-6,21,3
11/28/10,L,-3,33,4
11/30/10,L,-2,25,5
12/1/10,L,-10,24,4
12/3/10,W,33,18,4
12/7/10,W,7,23,3
12/8/10,W,1,15,4
12/10/10,L,-4,23,7
12/12/10,W,7,19,6
12/14/10,W,14,13,4
12/15/10,W,15,18,6
12/17/10,W,12,11,4
12/19/10,W,10,12,4
12/21/10,L,-19,16,2
12/25/10,L,-16,16,7
12/28/10,L,-15,27,1
12/29/10,W,15,14,4
12/31/10,W,4,24,2
1/2/11,L,-19,22,2
1/4/11,W,25,18,8
1/5/11,W,4,17,5
1/7/11,W,4,19,4
1/9/11,W,22,28,5
1/11/11,W,55,10,8
1/12/11,W,5,21,4
1/14/11,W,12,19,4
1/16/11,L,-7,17,5
1/17/11,W,7,12,7
1/19/11,L,-9,18,10
1/21/11,W,10,15,7
1/25/11,W,29,11,6
1/28/11,L,-5,27,7
1/30/11,L,-13,29,0
2/1/11,W,8,25,11
2/3/11,L,-1,18,10
2/5/11,W,6,22,5
2/7/11,W,9,17,6
2/10/11,W,6,17,4
2/11/11,W,17,17,2
2/13/11,L,-14,18,5
2/14/11,L,-20,20,2
2/16/11,L,-5,24,2
2/22/11,W,24,11,5
2/23/11,W,5,31,6
2/25/11,W,13,16,5
2/27/11,W,3,22,7
3/1/11,W,11,18,3
3/4/11,W,8,25,3
3/6/11,W,16,25,5
3/8/11,W,14,18,4
3/10/11,L,-6,21,2
3/12/11,W,5,20,4
3/14/11,W,13,19,4
3/18/11,W,8,17,5
3/20/11,W,4,20,3
3/22/11,W,2,31,9
3/25/11,W,8,21,6
3/27/11,W,18,25,5
3/31/11,W,28,21,4
4/1/11,W,11,14,4
4/3/11,L,-5,27,4
4/5/11,L,-1,18,5
4/6/11,L,-8,20,2
4/8/11,L,-7,25,4
4/10/11,L,-14,19,4
4/12/11,W,9,21,4
4/13/11,W,8,24,6
4/17/11,L,-9,26,5
4/20/11,W,9,10,2
4/22/11,W,14,20,2
4/24/11,L,-5,18,8
4/26/11,W,16,13,4
4/28/11,W,18,16,2
5/2/11,L,-2,29,0
5/4/11,L,-12,20,3
5/6/11,L,-6,16,6
5/8/11,L,-36,18,1
12/25/11,L,-1,23,6
12/26/11,L,-9,24,6
12/27/11,W,25,17,5
12/29/11,W,17,17,6
12/31/11,W,3,18,9
1/1/12,L,-9,28,4
1/3/12,W,9,29,6
1/5/12,L,-11,24,3
1/6/12,W,7,28,7
1/8/12,W,8,22,9
1/10/12,W,16,31,3
1/11/12,W,3,31,4
1/13/12,W,5,31,3
1/14/12,L,-8,28,4
1/16/12,W,3,22,7
1/19/12,L,-11,21,7
1/20/12,L,-12,22,8
1/22/12,L,-2,30,4
1/25/12,W,5,17,6
1/28/12,L,-11,21,9
1/29/12,W,5,29,2
1/31/12,W,33,21,1
2/3/12,W,4,23,9
2/4/12,L,-9,16,1
2/6/12,L,-5,26,6
2/9/12,W,1,24,4
2/10/12,L,-7,29,1
2/12/12,W,2,23,1
2/14/12,W,8,18,4
2/17/12,W,12,25,6
2/19/12,L,-12,24,5
2/20/12,W,11,26,3
2/22/12,W,5,15,4
2/23/12,L,-15,24,3
2/29/12,W,19,23,8
3/2/12,W,8,24,3
3/4/12,W,10,23,1
3/6/12,L,-3,26,7
3/7/12,L,-5,31,4
3/9/12,W,3,26,1
3/11/12,W,3,20,7
3/13/12,W,5,25,5
3/14/12,W,6,23,5
3/16/12,W,5,20,3
3/18/12,L,-4,20,4
3/20/12,L,-3,27,4
3/21/12,W,16,18,4
3/23/12,W,7,17,4
3/25/12,L,-6,15,3
3/27/12,W,3,24,5
3/29/12,L,-9,25,2
3/31/12,W,3,21,5
4/1/12,W,8,28,5
4/3/12,W,4,16,3
4/4/12,W,5,19,6
4/6/12,L,-5,20,0
4/20/12,L,-24,12,1
4/22/12,W,8,26,8
4/29/12,W,15,24,4
5/1/12,W,4,29,2
5/4/12,L,-15,23,6
5/6/12,W,4,25,6
5/8/12,L,-3,32,5
5/10/12,L,-17,23,4
5/12/12,W,9,16,8
5/14/12,L,-29,18,2
5/16/12,L,-2,25,4
5/18/12,W,3,25,6
5/19/12,L,-3,28,5
5/21/12,L,-16,33,0
10/30/12,L,-8,14,0
10/31/12,L,-10,20,3
11/2/12,L,-10,23,1
11/4/12,W,29,10,8
11/7/12,L,-9,17,4
11/9/12,W,24,18,7
11/11/12,W,13,15,6
11/13/12,L,-2,19,8
11/16/12,W,12,24,6
11/18/12,W,11,18,11
11/20/12,W,5,15,5
11/21/12,L,-16,20,3
11/23/12,L,-8,23,4
11/24/12,W,26,11,5
11/27/12,L,-2,28,3
11/30/12,W,19,15,8
12/2/12,L,-10,27,5
12/4/12,L,-2,31,2
12/5/12,W,16,17,4
12/7/12,L,-6,24,7
12/9/12,L,-7,24,3
12/11/12,L,-6,28,2
12/13/12,L,-9,24,6
12/14/12,W,6,29,7
12/16/12,W,13,21,6
12/18/12,W,1,24,7
12/22/12,W,3,41,5
12/25/12,W,6,24,1
12/26/12,L,-12,24,6
12/28/12,W,17,18,4
1/1/13,L,-4,29,0
1/4/13,L,-5,25,3
1/6/13,L,-7,26,7
1/8/13,L,-13,22,7
1/9/13,L,-3,24,5
1/11/13,L,-15,23,3
1/13/13,W,20,14,6
1/15/13,W,16,19,6
1/17/13,L,-9,25,1
1/20/13,L,-5,32,5
1/21/13,L,-12,22,5
1/23/13,L,-13,23,3
1/25/13,W,18,10,14
1/27/13,W,9,12,14
1/29/13,W,5,12,11
1/30/13,L,-6,17,9
2/1/13,W,11,13,8
2/3/13,W,1,20,5
2/5/13,W,9,24,4
2/7/13,L,-21,15,0
2/8/13,W,7,15,8
2/10/13,L,-10,19,9
2/12/13,W,6,8,9
2/14/13,L,-24,13,11
2/20/13,W,14,15,7
2/22/13,W,4,23,4
2/24/13,W,4,21,7
2/25/13,L,-11,23,9
2/28/13,W,22,22,5
3/3/13,W,1,27,4
3/5/13,L,-17,19,2
3/6/13,W,6,21,12
3/8/13,W,2,22,12
3/10/13,W,9,16,9
3/12/13,W,9,14,8
3/13/13,L,-4,33,5
3/22/13,L,-3,18,11
3/25/13,L,-6,27,3
3/27/13,W,3,21,7
3/28/13,L,-10,17,3
3/30/13,W,5,18,14
4/2/13,W,20,18,11
4/5/13,W,2,23,9
4/7/13,L,-14,19,10
4/9/13,W,8,18,6
4/10/13,W,7,27,5
4/12/13,W,2,21,4
10/28/14,L,-18,17,2
10/29/14,L,-20,25,3
10/31/14,L,-7,15,7
11/1/14,L,-23,28,1
11/4/14,L,-6,37,1
11/9/14,W,15,20,4
11/11/14,L,-5,26,6
11/12/14,L,-7,28,5
11/14/14,L,-13,14,6
11/16/14,L,-21,34,3
11/18/14,W,5,18,3
11/19/14,W,6,28,7
11/21/14,L,-34,22,7
11/23/14,L,-7,24,4
11/26/14,L,-6,15,2
11/28/14,L,-1,18,5
11/30/14,W,7,24,12
12/2/14,W,10,11,13
12/3/14,L,-16,22,3
12/5/14,L,-17,21,3
12/7/14,L,-17,18,4
12/9/14,W,3,27,6
12/12/14,W,2,22,9
12/14/14,W,6,20,2
12/15/14,L,-19,26,3
12/19/14,L,-1,15,8
12/21/14,L,-7,30,3
12/28/14,L,-9,10,7
12/30/14,W,8,11,11
1/2/15,L,-3,14,8
1/4/15,W,1,14,6
1/7/15,L,-25,12,7
1/13/15,L,-3,19,7
10/28/15,L,-1,24,1
10/30/15,L,-18,12,3
11/1/15,L,-10,15,1
11/3/15,L,-11,11,5
11/6/15,W,6,16,3
11/8/15,L,-4,19,3
11/13/15,L,-8,15,3
11/15/15,W,12,19,9
11/20/15,L,-11,13,5
11/22/15,L,-14,22,4
11/24/15,L,-34,14,2
11/28/15,L,-12,20,2
11/29/15,L,-4,20,3
12/1/15,L,-12,26,2
12/2/15,W,4,24,3
12/4/15,L,-13,19,5
12/6/15,L,-20,15,1
12/7/15,L,-9,16,4
12/9/15,L,-1,13,1
12/11/15,L,-22,12,4
12/12/15,L,-29,16,6
12/15/15,W,18,15,6
12/17/15,L,-20,16,3
12/22/15,W,4,22,5
12/23/15,L,-35,22,3
12/25/15,L,-10,10,3
12/27/15,L,-16,15,3
12/28/15,L,-10,20,2
12/30/15,W,8,18,3
1/7/16,L,-3,19,3
1/8/16,L,-4,20,6
1/12/16,W,4,9,1
1/14/16,L,-18,15,3
1/16/16,L,-27,8,2
1/20/16,L,-19,13,3
1/22/16,L,-13,9,6
1/23/16,L,-18,9,1
1/28/16,L,-23,13,3
1/31/16,L,-19,18,3
2/2/16,W,4,21,5
2/4/16,W,3,24,2
2/6/16,L,-4,28,4
2/8/16,L,-2,25,0
2/10/16,L,-9,16,3
2/19/16,L,-6,25,3
2/21/16,L,-11,20,1
2/22/16,L,-7,12,2
2/24/16,L,-9,14,2
3/6/16,W,17,14,3
3/10/16,L,-12,16,2
3/13/16,L,-3,15,0
3/22/16,W,7,18,1
3/23/16,L,-12,13,2
3/25/16,L,-11,22,0
3/27/16,L,-13,15,2
3/28/16,L,-48,11,2
3/30/16,W,2,7,0
4/3/16,L,-7,28,1
4/5/16,L,-22,12,0
4/6/16,L,-10,19,1
4/8/16,L,-8,15,4
4/10/16,L,-20,22,1
4/11/16,L,-33,12,0
4/13/16,W,5,50,4